date,q50_1022,actual_1022,q50_1023,actual_1023,q50_1024,actual_1024,selected_fund,strategy_return,q50_selected,ewbah_return,strategy_cumret,ewbah_cumret,fund_label
2024-06-29,0.09288829192519188,0.6068199850323032,-0.048899125307798386,0.4100672444445698,0.003999501466751099,0.7814766609739384,1022,0.6068199850323032,0.09288829192519188,0.5994546301502705,0.6068199850323168,0.5994546301502766,SPP Generation 60-tal
2024-07-06,0.14033814147114754,-0.15972887213719927,-0.08832533098757267,0.06955067017431087,0.0769343227148056,-0.3427519278082154,1022,-0.15972887213719927,0.14033814147114754,-0.1443100432570346,0.44612184617712103,0.4542795136571698,SPP Generation 60-tal
2024-07-13,0.2716418243944645,0.40805658220972135,-0.0022670943289995193,0.2716676801838404,0.25474897772073746,0.5111632382931302,1022,0.40805658220972135,0.2716418243944645,0.3969625002288973,0.8559988579448543,0.8530453332015213,SPP Generation 60-tal
2024-07-20,0.21018608286976814,-0.4563553507009418,-0.035294193774461746,-0.050487118515140796,0.17308709397912025,-0.7712591972821381,1022,-0.4563553507009418,0.21018608286976814,-0.4260338888327402,0.39573711065372663,0.423377182162227,SPP Generation 60-tal
2024-07-27,0.2512974198907614,-1.2188788106120634,0.01944969780743122,-0.5503305136996862,0.22062596678733826,-1.7308111122693368,1022,-1.2188788106120634,0.2512974198907614,-1.166673478860362,-0.8279652557458377,-0.748235725997958,SPP Generation 60-tal
2024-08-03,0.08373963623307645,1.1876895525286872,-0.0589237567037344,0.6135875845250893,0.02152852446306497,1.6404117643251255,1022,1.1876895525286872,0.08373963623307645,1.1472296337929675,0.3498906399417905,0.39040992581573164,SPP Generation 60-tal
2024-08-10,-0.21615985222160816,-0.5061372448603773,-0.17970047239214182,-0.14922793124942024,-0.18850024044513702,-0.7226717233412855,1023,-0.14922793124942024,-0.17970047239214182,-0.459345633150361,0.20014057412876696,-0.07072903828024835,SPP Generation 50-tal
2024-08-17,0.0484563410282135,0.06441192643883317,-0.10515598114579916,0.016697366127189132,-0.07298148795962334,0.10976398597729768,1022,0.06441192643883317,0.0484563410282135,0.06362442618110666,0.2646814149669581,-0.007149613043893055,SPP Generation 60-tal
2024-08-24,-0.0017990292981266975,-1.1082512745108946,-0.1357052130624652,-0.43229973878333966,-0.08323830086737871,-1.6401127206795123,1022,-1.1082512745108946,-0.0017990292981266975,-1.0602212446579156,-0.8465031946986983,-1.0672950559853973,SPP Generation 60-tal
2024-08-31,0.08496369235217571,1.3345666156493077,-0.10652434825897217,0.7012461481155444,0.0029632728546857834,1.8290955566242761,1022,1.3345666156493077,0.08496369235217571,1.2883027734630428,0.4767662719137604,0.2072577256703454,SPP Generation 60-tal
2024-09-07,-0.15763896144926548,0.5237418439092578,-0.19324838183820248,0.22300190969298422,-0.2544359341263771,0.7499291398337675,1022,0.5237418439092578,-0.15763896144926548,0.4988909644786699,1.0030051402866889,0.7071826802155385,SPP Generation 60-tal
2024-09-14,0.15430544409900904,0.5001197387228153,-0.07861106283962727,0.3122097197744528,0.10662204399704933,0.6115267399264042,1022,0.5001197387228153,0.15430544409900904,0.4746187328078908,1.508141105696481,1.1851578344989235,SPP Generation 60-tal
2024-09-21,0.336247181519866,0.24783938385475981,-0.028833143413066864,0.1040479733276148,0.328323595225811,0.36628473315773097,1022,0.24783938385475981,0.336247181519866,0.23939069678003522,1.7597182571752512,1.4273856888769103,SPP Generation 60-tal
2024-09-28,0.44381714425981045,-0.04038499878038031,0.04899502173066139,-0.18667569269534082,0.4600202441215515,0.06327464902909703,1024,0.06327464902909703,0.4600202441215515,-0.05459534748220803,1.8241063617554687,1.3720110552179392,SPP Generation 70-tal
2024-10-05,0.3870133366435766,0.6355905901385486,-0.011561881750822067,0.4524948249188512,0.40400974452495575,0.7698950385123464,1024,0.7698950385123464,0.40400974452495575,0.6193268178565821,2.6080451046441624,1.9998351054834558,SPP Generation 70-tal
2024-10-12,0.24953178130090237,-0.6460908748634837,-0.09302784875035286,-0.38572687162847885,0.25645824521780014,-0.8313399972893935,1024,-0.8313399972893935,0.25645824521780014,-0.621052581260452,1.755023385252514,1.3663624966794572,SPP Generation 70-tal
2024-10-19,0.2703071590512991,0.2564152297897244,-0.06686030316632241,0.10386532203140611,0.26561983674764633,0.3770266546872989,1022,0.2564152297897244,0.2703071590512991,0.24576906883614313,2.0159387622883855,1.6154896619005967,SPP Generation 60-tal
2024-10-26,0.1092113102786243,0.9879259901773929,-0.15391763066872954,0.38989966916145236,0.07771976571530104,1.433878068958575,1022,0.9879259901773929,0.1092113102786243,0.9372345760991401,3.0237807354444755,2.567865165684367,SPP Generation 60-tal
2024-11-02,0.11929787322878838,-0.2113136201211021,-0.13548062928020954,-0.014911290389034066,0.09833193942904472,-0.3789204185523296,1022,-0.2113136201211021,0.11929787322878838,-0.2017151096874886,2.806077454786788,2.3609702839612936,SPP Generation 60-tal
2024-11-09,0.2699630241841078,0.2998428226953453,-0.08955288678407669,0.1649810203485419,0.277357816696167,0.4078274244469887,1024,0.4078274244469887,0.277357816696167,0.29088375583029197,3.225348832645608,2.658721718827593,SPP Generation 70-tal
2024-11-16,0.26577276550233364,-0.07421236644101388,-0.07125121913850307,0.10771502557056492,0.2733656242489815,-0.210150698385087,1024,-0.210150698385087,0.2733656242489815,-0.05888267975184532,3.0084200411633475,2.59827351248056,SPP Generation 70-tal
2024-11-23,0.2502187732607126,1.0396013426176514,-0.054642390459775925,0.4353822835350665,0.2505577504634857,1.5254904221707042,1024,1.5254904221707042,0.2505577504634857,1.0001580161078074,4.57980362292065,3.624418369403841,SPP Generation 70-tal
2024-11-30,0.17383473552763462,-0.3426226473609545,-0.073079913854599,-0.2008125971538063,0.1320646214298904,-0.45093309537210435,1022,-0.3426226473609545,0.17383473552763462,-0.3314561132956217,4.221489531142922,3.280948899851424,SPP Generation 60-tal
2024-12-07,0.33700780384242535,-1.2752220855784322,-0.010880205780267715,-0.715670488193506,0.2969757094979286,-1.7132567681598203,1022,-1.2752220855784322,0.33700780384242535,-1.2347164473105863,2.892434078722971,2.0057220368465067,SPP Generation 60-tal
2024-12-14,0.28054060973227024,0.3504922093655576,-0.077695706859231,0.08002416887379571,0.25290434435009956,0.5700550520801994,1022,0.3504922093655576,0.28054060973227024,0.3335238101065176,3.253064044195497,2.345935407510453,SPP Generation 60-tal
2024-12-21,-0.13190528936684132,0.072223874892425,-0.22360482811927795,0.12867312366021336,-0.06850175186991692,0.03426888268174699,1024,0.03426888268174699,-0.06850175186991692,0.07838862707812845,3.2884477155781013,2.4261629811466605,SPP Generation 70-tal
2024-12-28,-0.10781864263117313,0.10596605434866406,-0.22065014392137527,0.028118941418647188,-0.0575369019061327,0.16223277026008084,1024,0.16223277026008084,-0.0575369019061327,0.09877258867579737,3.4560154256657114,2.5273319538044063,SPP Generation 70-tal
2025-01-04,-0.06501696817576885,0.702421560769057,-0.16705661080777645,0.40536412050965354,0.00017177639529109,0.9669747724570221,1024,0.9669747724570221,0.00017177639529109,0.691586817911911,4.4564089954211425,3.236397466353708,SPP Generation 70-tal
